"","year","iso3","idps","idps_change","pop","q1_temp","q2_temp","q3_temp","q4_temp","max_rain","avg_rain","deaths_war","deaths_civ","deaths_tot","food_yield","gdp","cpi","polity2","durable","percapinc"
"59",1965,"COD",0,0,17369883,NA,NA,NA,NA,NA,NA,0,0,0,646,4043901818.18182,-2.726980278,-9,0,232.811114397364
"60",1965,"COG",0,0,1184316,25.0142,24.9813666666667,23.5582333333333,24.6688,209.269,131.625433333333,0,0,0,1020.4,198318063.860841,NA,-7,2,167.453672719816
"61",1965,"GHA",0,0,7710549,28.1524,27.4987333333333,25.5461666666667,26.7641666666667,220.836,104.422580833333,0,0,0,809.2,2053462872.38275,26.44478485,-9,5,266.31863339209
"62",1965,"GNB",0,0,652562,25.6617333333333,28.7713333333333,26.1155333333333,25.6110333333333,649.057,163.021000833333,0,0,0,760,NA,NA,NA,NA,NA
"63",1965,"GRC",0,0,8550333,5.68104666666667,15.9273,21.9517666666667,10.97419,113.442,52.5462308333333,0,0,0,1652.6,7600579093.1158,3.220861496,4,16,888.921997905321
"64",1965,"HKG",0,0,3597900,NA,NA,NA,NA,NA,NA,0,0,0,2436.2,2435078534.03141,NA,NA,NA,676.805507110095
"65",1965,"HUN",0,0,10147935,0.354043333333333,13.5219066666667,17.7034333333333,4.43184333333333,127.079,66.2049375,0,0,0,2320.6,NA,NA,-7,7,NA
"66",1965,"IND",0,0,497702365,19.9564333333333,28.6662666666667,26.4651333333333,21.3114333333333,276.244,73.5897875,0,0,0,854.4,58760424669.8482,9.479452055,9,15,118.06338245921
"67",1965,"KHM",0,0,6467197,25.7192333333333,28.1092,27.0312666666667,26.5514666666667,327.056,142.832935,0,0,0,1063.9,868571428.571429,NA,-9,9,134.304155041424
"68",1965,"MAC",0,0,203231,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"69",1965,"MOZ",0,0,8203076,25.1511333333333,21.0539,20.8836,25.2312333333333,229.127,83.0552041666667,0,0,0,935.7,NA,NA,NA,NA,NA
"70",1965,"NPL",0,0,10913724,5.21302333333333,15.9712333333333,17.3446,8.14755,395.254,103.475420833333,0,0,0,1867.3,735267082.294264,8.471869328,-9,5,67.3708701350945
"71",1965,"RWA",0,0,3232934,18.9918,18.8744666666667,19.1239666666667,19.1223333333333,184.078,97.2784533333333,0,0,0,1454.2,148799980,NA,-5,4,46.0262968560447
"72",1965,"SDN",0,0,8770097,22.752,29.5452,29.1326333333333,23.6909666666667,117.798,22.617365,0,0,0,NA,1679333333.33333,-2.446029391,7,0,191.484009051819
"73",1965,"SEN",0,0,3682876,25.6848,30.2996333333333,27.7230333333333,26.1552333333333,322.404,74.2696216666667,0,0,0,588.7,1210058396.0603,NA,-7,2,328.56343685215
"74",1965,"SRB",0,0,NA,0.226476666666667,13.5182866666667,18.8358333333333,5.92933333333333,90.1996,59.1970675,0,0,0,NA,NA,NA,NA,NA,NA
"75",1965,"TGO",0,0,1708630,28.1616333333333,27.3157,25.2961333333333,26.6079666666667,218.083,99.5195325,0,0,0,452.5,187300336.365369,NA,-6,5,109.620184806172
"76",1965,"TZA",0,0,11683528,22.6516666666667,21.0938666666667,20.8406666666667,23.2737,189.785,82.1595016666667,0,0,0,801.4,NA,NA,-6,4,NA
"77",1965,"UGA",0,0,8014401,22.9545,22.2623666666667,21.6737,22.2516333333333,179.145,91.62475,0,0,0,910.5,884873949.579832,NA,7,3,110.410491012345
"78",1965,"VNM",0,0,37860012,20.7220333333333,26.0635333333333,26.4072666666667,23.0286666666667,294.327,137.297440833333,0,0,0,1898.4,NA,NA,-8,11,NA
"79",1965,"ZMB",0,0,3563407,22.3892,18.8984,19.2917333333333,23.6748,228.685,74.30003,0,0,0,823.5,1082857142.85714,NA,2,1,303.882532322898
"80",1966,"AGO",0,0,6309770,22.5502666666667,20.6408,19.9844333333333,22.9809666666667,233.771,90.7924866666667,0,0,0,824.3,NA,NA,NA,NA,NA
"81",1966,"ALB",0,0,1914573,4.23140666666667,14.5864,20.0267333333333,8.76927333333333,205.154,95.4549333333333,0,0,0,1318.6,NA,NA,-9,19,NA
"82",1966,"BDI",0,0,3152723,20.4494333333333,19.9935,20.3719333333333,20.3219,222.621,103.971788333333,0,0,0,975.8,165444571.428571,4.436860068,-7,0,52.4767229561782
"83",1966,"BTN",0,0,262244,6.1636,15.0483666666667,17.0138666666667,9.15905,484.48,155.531936666667,0,0,0,1437.7,NA,NA,-10,59,NA
"84",1966,"CAF",0,0,1682885,26.2426333333333,25.7186,24.2002666666667,24.2080666666667,248.415,130.495603333333,0,0,0,806.6,157930041.875883,NA,-7,6,93.8448211707176
